"table","col_id","row_id","entity"
"10151359_0_8168779773862259178","0","72","http://dbpedia.org/resource/The_Great_Gilly_Hopkins"
"10151359_0_8168779773862259178","0","55","http://dbpedia.org/resource/Fade_(novel)"
"10151359_0_8168779773862259178","0","9","http://dbpedia.org/resource/The_Anarchist_Cookbook"
"10151359_0_8168779773862259178","0","151","http://dbpedia.org/resource/A_Wrinkle_in_Time"
"10151359_0_8168779773862259178","0","1","http://dbpedia.org/resource/Adventures_of_Huckleberry_Finn"
"10151359_0_8168779773862259178","0","84","http://dbpedia.org/resource/The_Invisible_Man"
"10151359_0_8168779773862259178","0","64","http://dbpedia.org/resource/The_Giver"
"10151359_0_8168779773862259178","0","2","http://dbpedia.org/resource/The_Adventures_of_Super_Diaper_Baby"
"10151359_0_8168779773862259178","0","65","http://dbpedia.org/resource/Go_Ask_Alice"
"10151359_0_8168779773862259178","0","80","http://dbpedia.org/resource/How_to_Eat_Fried_Worms"
"10151359_0_8168779773862259178","0","7","http://dbpedia.org/resource/American_Psycho"
"10151359_0_8168779773862259178","0","11","http://dbpedia.org/resource/And_Tango_Makes_Three"
"10151359_0_8168779773862259178","0","52","http://dbpedia.org/resource/Earth's_Children"
"10151359_0_8168779773862259178","0","76","http://dbpedia.org/resource/Harry_Potter"
"10151359_0_8168779773862259178","0","81","http://dbpedia.org/resource/I_Know_Why_the_Caged_Bird_Sings"
"10151359_0_8168779773862259178","0","20","http://dbpedia.org/resource/Beloved_(novel)"
"10151359_0_8168779773862259178","0","34","http://dbpedia.org/resource/The_Catcher_in_the_Rye"
"10151359_0_8168779773862259178","0","78","http://dbpedia.org/resource/Heather_Has_Two_Mommies"
"10151359_0_8168779773862259178","0","59","http://dbpedia.org/resource/Final_Exit"
"10151359_0_8168779773862259178","0","138","http://dbpedia.org/resource/Tropic_of_Cancer_(novel)"
"10151359_0_8168779773862259178","0","115","http://dbpedia.org/resource/The_Pigman"
"10151359_0_8168779773862259178","0","63","http://dbpedia.org/resource/Single-sex_education"
"10151359_0_8168779773862259178","0","101","http://dbpedia.org/resource/Mummy_Laid_an_Egg"
"10151359_0_8168779773862259178","0","73","http://dbpedia.org/resource/Guess_What%3F"
"10151359_0_8168779773862259178","0","82","http://dbpedia.org/resource/In_Cold_Blood"
"10151359_0_8168779773862259178","0","86","http://dbpedia.org/resource/It's_So_Amazing"
"10151359_0_8168779773862259178","0","46","http://dbpedia.org/resource/Daddy's_Roommate"
"10151359_0_8168779773862259178","0","49","http://dbpedia.org/resource/Deenie"
"10151359_0_8168779773862259178","0","150","http://dbpedia.org/resource/Women_on_Top:_How_Real_Life_Has_Changed_Women's_Sexual_Fantasies"
"10151359_0_8168779773862259178","0","135","http://dbpedia.org/resource/Their_Eyes_Were_Watching_God"
"10151359_0_8168779773862259178","0","83","http://dbpedia.org/resource/In_the_Night_Kitchen"
"10151359_0_8168779773862259178","0","32","http://dbpedia.org/resource/Captain_Underpants"
"10151359_0_8168779773862259178","0","5","http://dbpedia.org/resource/All_the_King's_Men"
"10151359_0_8168779773862259178","0","110","http://dbpedia.org/resource/One_Flew_Over_the_Cuckoo's_Nest_(novel)"
"10151359_0_8168779773862259178","0","35","http://dbpedia.org/resource/Catch-22"
"10151359_0_8168779773862259178","0","112","http://dbpedia.org/resource/The_Outsiders_(novel)"
"10151359_0_8168779773862259178","0","74","http://dbpedia.org/resource/Halloween_ABC"
"10151359_0_8168779773862259178","0","60","http://dbpedia.org/resource/Flowers_for_Algernon"
"10151359_0_8168779773862259178","0","56","http://dbpedia.org/resource/Fallen_Angels_(Myers_novel)"
"10151359_0_8168779773862259178","0","103","http://dbpedia.org/resource/The_Naked_and_the_Dead"
"10151359_0_8168779773862259178","0","95","http://dbpedia.org/resource/Killing_Mr._Griffin"
"10151359_0_8168779773862259178","0","88","http://dbpedia.org/resource/James_and_the_Giant_Peach"
"10151359_0_8168779773862259178","0","71","http://dbpedia.org/resource/The_Great_Gatsby"
"10151359_0_8168779773862259178","0","94","http://dbpedia.org/resource/Kaffir_Boy"
"10151359_0_8168779773862259178","0","139","http://dbpedia.org/resource/Ulysses_(novel)"
"10151359_0_8168779773862259178","0","108","http://dbpedia.org/resource/Of_Mice_and_Men"
"10151359_0_8168779773862259178","0","77","http://dbpedia.org/resource/Heart_of_Darkness"
"10151359_0_8168779773862259178","0","109","http://dbpedia.org/resource/On_My_Honor"
"10151359_0_8168779773862259178","0","48","http://dbpedia.org/resource/The_Dead_Zone_(novel)"
"10151359_0_8168779773862259178","0","39","http://dbpedia.org/resource/A_Clockwork_Orange"
"10151359_0_8168779773862259178","0","96","http://dbpedia.org/resource/Lady_Chatterley's_Lover"
"10151359_0_8168779773862259178","0","25","http://dbpedia.org/resource/The_Bluest_Eye"
"10151359_0_8168779773862259178","0","130","http://dbpedia.org/resource/Sons_and_Lovers"
"10151359_0_8168779773862259178","0","29","http://dbpedia.org/resource/Bridge_to_Terabithia_(novel)"
"10151359_0_8168779773862259178","0","136","http://dbpedia.org/resource/Tiger_Eyes"
"10151359_0_8168779773862259178","0","125","http://dbpedia.org/resource/Sex_Education_(book)"
"10151359_0_8168779773862259178","0","111","http://dbpedia.org/resource/Ordinary_People_(novel)"
"10151359_0_8168779773862259178","0","17","http://dbpedia.org/resource/As_I_Lay_Dying_(novel)"
"10151359_0_8168779773862259178","0","14","http://dbpedia.org/resource/Are_You_There_God%3F_It's_Me,_Margaret."
"10151359_0_8168779773862259178","0","87","http://dbpedia.org/resource/Jack_(novel)"
"10151359_0_8168779773862259178","0","107","http://dbpedia.org/resource/Nineteen_Eighty-Four"
"10151359_0_8168779773862259178","0","10","http://dbpedia.org/resource/Anastasia_Again!"
"10151359_0_8168779773862259178","0","58","http://dbpedia.org/resource/A_Farewell_to_Arms"
"10151359_0_8168779773862259178","0","41","http://dbpedia.org/resource/Crazy_Lady!"
"10151359_0_8168779773862259178","0","114","http://dbpedia.org/resource/The_Pillars_of_the_Earth"
"10151359_0_8168779773862259178","0","50","http://dbpedia.org/resource/Detour_for_Emmy"
"10151359_0_8168779773862259178","0","54","http://dbpedia.org/resource/The_Face_on_the_Milk_Carton"
"10151359_0_8168779773862259178","0","119","http://dbpedia.org/resource/Rainbow_Boys"
"10151359_0_8168779773862259178","0","128","http://dbpedia.org/resource/The_Sleeping_Beauty_Trilogy"
"10151359_0_8168779773862259178","0","143","http://dbpedia.org/resource/What_My_Mother_Doesn't_Know"
"10151359_0_8168779773862259178","0","61","http://dbpedia.org/resource/For_Whom_the_Bell_Tolls"
"10151359_0_8168779773862259178","0","19","http://dbpedia.org/resource/Athletic_Shorts:_Six_Short_Stories"
"10151359_0_8168779773862259178","0","106","http://dbpedia.org/resource/The_Joy_of_Gay_Sex"
"10151359_0_8168779773862259178","0","8","http://dbpedia.org/resource/An_American_Tragedy"
"10151359_0_8168779773862259178","0","4","http://dbpedia.org/resource/Alice_series"
"10151359_0_8168779773862259178","0","40","http://dbpedia.org/resource/The_Color_Purple"
"10151359_0_8168779773862259178","0","37","http://dbpedia.org/resource/The_Chocolate_War"
"10151359_0_8168779773862259178","0","33","http://dbpedia.org/resource/Carrie_(novel)"
"10151359_0_8168779773862259178","0","92","http://dbpedia.org/resource/Jumper_(novel)"
"10151359_0_8168779773862259178","0","85","http://dbpedia.org/resource/It's_Perfectly_Normal"
"10151359_0_8168779773862259178","0","127","http://dbpedia.org/resource/The_Sledding_Hill"
"10151359_0_8168779773862259178","0","99","http://dbpedia.org/resource/Lolita"
"10151359_0_8168779773862259178","0","16","http://dbpedia.org/resource/Arizona_Kid"
"10151359_0_8168779773862259178","0","13","http://dbpedia.org/resource/Annie_on_My_Mind"
"10151359_0_8168779773862259178","0","31","http://dbpedia.org/resource/The_Call_of_the_Wild"
"10151359_0_8168779773862259178","0","124","http://dbpedia.org/resource/Sex_(book)"
"10151359_0_8168779773862259178","0","36","http://dbpedia.org/resource/Cat's_Cradle"
"10151359_0_8168779773862259178","0","43","http://dbpedia.org/resource/Cujo"
"10151359_0_8168779773862259178","0","38","http://dbpedia.org/resource/Christine_(novel)"
"10151359_0_8168779773862259178","0","75","http://dbpedia.org/resource/The_Handmaid's_Tale"
"10151359_0_8168779773862259178","0","123","http://dbpedia.org/resource/A_Separate_Peace"
"10151359_0_8168779773862259178","0","21","http://dbpedia.org/resource/Black_Boy"
"10579449_0_1681126353774891032","1","16","http://dbpedia.org/resource/People's_Daily"
"10579449_0_1681126353774891032","1","14","http://dbpedia.org/resource/Dina_Thanthi"
"10579449_0_1681126353774891032","1","20","http://dbpedia.org/resource/Punjab_Kesari"
"10579449_0_1681126353774891032","1","2","http://dbpedia.org/resource/Dainik_Bhaskar"
"10579449_0_1681126353774891032","1","13","http://dbpedia.org/resource/Softpedia"
"10579449_0_1681126353774891032","1","10","http://dbpedia.org/resource/Fox_News_Channel"
"10579449_0_1681126353774891032","1","5","http://dbpedia.org/resource/Dinakaran"
"10579449_0_1681126353774891032","1","8","http://dbpedia.org/resource/Dinamalar"
"10579449_0_1681126353774891032","1","6","http://dbpedia.org/resource/Malayala_Manorama"
"10579449_0_1681126353774891032","1","1","http://dbpedia.org/resource/Dainik_Jagran"
"10579449_0_1681126353774891032","1","7","http://dbpedia.org/resource/Divya_Bhaskar"
"10579449_0_1681126353774891032","1","11","http://dbpedia.org/resource/BBC_World_Service"
"10579449_0_1681126353774891032","1","17","http://dbpedia.org/resource/USA_Today"
"10579449_0_1681126353774891032","1","21","http://dbpedia.org/resource/Media_of_Sierra_Leone"
"10579449_0_1681126353774891032","1","18","http://dbpedia.org/resource/Navbharat_Times"
"10579449_0_1681126353774891032","1","9","http://dbpedia.org/resource/The_Huffington_Post"
"10630177_0_4831842476649004753","2","111","http://dbpedia.org/resource/K11_(Shanghai)"
"10630177_0_4831842476649004753","2","115","http://dbpedia.org/resource/Scotia_Plaza"
"10630177_0_4831842476649004753","2","72","http://dbpedia.org/resource/City_of_Capitals"
"10630177_0_4831842476649004753","2","166","http://dbpedia.org/resource/Vision_Tower"
"10630177_0_4831842476649004753","2","23","http://dbpedia.org/resource/JW_Marriott_Marquis_Dubai"
"10630177_0_4831842476649004753","2","78","http://dbpedia.org/resource/Shanghai_Wheelock_Square"
"10630177_0_4831842476649004753","2","141","http://dbpedia.org/resource/Bocom_Financial_Towers"
"10630177_0_4831842476649004753","2","130","http://dbpedia.org/resource/Nation_Towers"
"10630177_0_4831842476649004753","2","90","http://dbpedia.org/resource/Dongguan_TBA_Tower"
"10630177_0_4831842476649004753","2","18","http://dbpedia.org/resource/CITIC_Plaza"
"10630177_0_4831842476649004753","2","33","http://dbpedia.org/resource/The_Center"
"10630177_0_4831842476649004753","2","57","http://dbpedia.org/resource/Ocean_Heights_(Dubai)"
"10630177_0_4831842476649004753","2","174","http://dbpedia.org/resource/PBCom_Tower"
"10630177_0_4831842476649004753","2","42","http://dbpedia.org/resource/Ryugyong_Hotel"
"10630177_0_4831842476649004753","2","165","http://dbpedia.org/resource/Shanghai_IFC"
"10630177_0_4831842476649004753","2","189","http://dbpedia.org/resource/Hyperion_Tower"
"10630177_0_4831842476649004753","2","94","http://dbpedia.org/resource/Columbia_Center"
"10630177_0_4831842476649004753","2","39","http://dbpedia.org/resource/Rose_Tower"
"10630177_0_4831842476649004753","2","92","http://dbpedia.org/resource/Plaza_66"
"10630177_0_4831842476649004753","2","22","http://dbpedia.org/resource/Elite_Residence"
"10630177_0_4831842476649004753","2","199","http://dbpedia.org/resource/Bank_of_Shanghai_Headquarters"
"10630177_0_4831842476649004753","2","126","http://dbpedia.org/resource/One_Lujiazui"
"10630177_0_4831842476649004753","2","3","http://dbpedia.org/resource/Taipei_101"
"10630177_0_4831842476649004753","2","20","http://dbpedia.org/resource/Central_Market_Project"
"10630177_0_4831842476649004753","2","61","http://dbpedia.org/resource/Jumeirah_Emirates_Towers_Hotel"
"10630177_0_4831842476649004753","2","179","http://dbpedia.org/resource/Chongqing_World_Trade_Center"
"10630177_0_4831842476649004753","2","184","http://dbpedia.org/resource/Trump_International_Hotel_and_Tower_(Toronto)"
"10630177_0_4831842476649004753","2","32","http://dbpedia.org/resource/Aon_Center_(Chicago)"
"10630177_0_4831842476649004753","2","151","http://dbpedia.org/resource/Water_Tower_Place"
"10630177_0_4831842476649004753","2","89","http://dbpedia.org/resource/70_Pine_Street"
"10630177_0_4831842476649004753","2","10","http://dbpedia.org/resource/KK100"
"10630177_0_4831842476649004753","2","25","http://dbpedia.org/resource/Central_Plaza_(Hong_Kong)"
"10630177_0_4831842476649004753","2","135","http://dbpedia.org/resource/The_River_(skyscraper)"
"10630177_0_4831842476649004753","2","47","http://dbpedia.org/resource/The_Landmark_(Abu_Dhabi)"
"10630177_0_4831842476649004753","2","59","http://dbpedia.org/resource/The_Shard"
"10630177_0_4831842476649004753","2","87","http://dbpedia.org/resource/Haeundae_I_Park_Marina"
"10630177_0_4831842476649004753","2","85","http://dbpedia.org/resource/Trump_Ocean_Club_International_Hotel_and_Tower"
"10630177_0_4831842476649004753","2","170","http://dbpedia.org/resource/Transamerica_Pyramid"
"10630177_0_4831842476649004753","2","63","http://dbpedia.org/resource/Franklin_Center_(Chicago)"
"10630177_0_4831842476649004753","2","14","http://dbpedia.org/resource/Trump_International_Hotel_and_Tower_(Chicago)"
"10630177_0_4831842476649004753","2","38","http://dbpedia.org/resource/Wenzhou_World_Trade_Center"
"10630177_0_4831842476649004753","2","31","http://dbpedia.org/resource/Tuntex_Sky_Tower"
"10630177_0_4831842476649004753","2","76","http://dbpedia.org/resource/One_Island_East"
"10630177_0_4831842476649004753","2","12","http://dbpedia.org/resource/Jin_Mao_Tower"
"10630177_0_4831842476649004753","2","13","http://dbpedia.org/resource/International_Finance_Centre"
"10630177_0_4831842476649004753","2","159","http://dbpedia.org/resource/Brookfield_Place"
"10630177_0_4831842476649004753","2","88","http://dbpedia.org/resource/SEG_Plaza"
"10630177_0_4831842476649004753","2","156","http://dbpedia.org/resource/Grand_Lisboa"
"10630177_0_4831842476649004753","2","54","http://dbpedia.org/resource/Bank_of_America_Plaza_(Atlanta)"
"10630177_0_4831842476649004753","2","155","http://dbpedia.org/resource/Islamic_Bank_Towers"
"10630177_0_4831842476649004753","2","183","http://dbpedia.org/resource/City_of_Capitals"
"10630177_0_4831842476649004753","2","82","http://dbpedia.org/resource/Emirates_Crown"
"10630177_0_4831842476649004753","2","172","http://dbpedia.org/resource/GE_Building"
"10630177_0_4831842476649004753","2","113","http://dbpedia.org/resource/Etihad_Towers"
"10630177_0_4831842476649004753","2","26","http://dbpedia.org/resource/Bank_of_China_Tower_(Hong_Kong)"
"10630177_0_4831842476649004753","2","116","http://dbpedia.org/resource/Williams_Tower"
"10630177_0_4831842476649004753","2","110","http://dbpedia.org/resource/Citigroup_Center"
"10630177_0_4831842476649004753","2","19","http://dbpedia.org/resource/Shun_Hing_Square"
"10630177_0_4831842476649004753","2","96","http://dbpedia.org/resource/Sulafa_Tower"
"10630177_0_4831842476649004753","2","137","http://dbpedia.org/resource/Bank_of_America_Corporate_Center"
"10630177_0_4831842476649004753","2","62","http://dbpedia.org/resource/Northeast_Asia_Trade_Tower"
"10630177_0_4831842476649004753","2","186","http://dbpedia.org/resource/U.S._Steel_Tower"
"10630177_0_4831842476649004753","2","77","http://dbpedia.org/resource/First_Canadian_Place"
"10630177_0_4831842476649004753","2","149","http://dbpedia.org/resource/Trump_World_Tower"
"10630177_0_4831842476649004753","2","167","http://dbpedia.org/resource/Bahrain_Financial_Harbour"
"10630177_0_4831842476649004753","2","27","http://dbpedia.org/resource/Bank_of_America_Tower_(New_York_City)"
"10630177_0_4831842476649004753","2","95","http://dbpedia.org/resource/Millennium_Tower_(Dubai)"
"10630177_0_4831842476649004753","2","106","http://dbpedia.org/resource/Republic_Plaza_(Singapore)"
"10630177_0_4831842476649004753","2","101","http://dbpedia.org/resource/Global_188"
"10630177_0_4831842476649004753","2","152","http://dbpedia.org/resource/Grand_Gateway_Shanghai"
"10630177_0_4831842476649004753","2","15","http://dbpedia.org/resource/Princess_Tower"
"10630177_0_4831842476649004753","2","193","http://dbpedia.org/resource/Conrad_Dubai"
"10630177_0_4831842476649004753","2","68","http://dbpedia.org/resource/Two_Prudential_Plaza"
"10630177_0_4831842476649004753","2","200","http://dbpedia.org/resource/Osaka_Prefectural_Government_Sakishima_Building"
"10630177_0_4831842476649004753","2","83","http://dbpedia.org/resource/Khalid_Al_Attar_Tower_2"
"10630177_0_4831842476649004753","2","136","http://dbpedia.org/resource/900_North_Michigan"
"10630177_0_4831842476649004753","2","138","http://dbpedia.org/resource/SunTrust_Plaza"
"10630177_0_4831842476649004753","2","98","http://dbpedia.org/resource/Chongqing_World_Trade_Center"
"10630177_0_4831842476649004753","2","139","http://dbpedia.org/resource/Al_Kazim_Towers"
"10630177_0_4831842476649004753","2","53","http://dbpedia.org/resource/HHHR_Tower"
"10630177_0_4831842476649004753","2","133","http://dbpedia.org/resource/Menara_Carigali"
"10630177_0_4831842476649004753","2","197","http://dbpedia.org/resource/Capital_Tower_(Singapore)"
"10630177_0_4831842476649004753","2","9","http://dbpedia.org/resource/Willis_Tower"
"10630177_0_4831842476649004753","2","185","http://dbpedia.org/resource/Messeturm"
"10630177_0_4831842476649004753","2","103","http://dbpedia.org/resource/Bank_of_America_Plaza_(Dallas)"
"10630177_0_4831842476649004753","2","153","http://dbpedia.org/resource/Grand_Gateway_Shanghai"
"10630177_0_4831842476649004753","2","7","http://dbpedia.org/resource/Petronas_Towers"
"10630177_0_4831842476649004753","2","194","http://dbpedia.org/resource/The_Point,_Panama_City"
"10630177_0_4831842476649004753","2","5","http://dbpedia.org/resource/International_Commerce_Centre"
"10630177_0_4831842476649004753","2","160","http://dbpedia.org/resource/Etihad_Towers"
"10630177_0_4831842476649004753","2","8","http://dbpedia.org/resource/Zifeng_Tower"
"10630177_0_4831842476649004753","2","105","http://dbpedia.org/resource/Marina_Pinnacle"
"10630177_0_4831842476649004753","2","140","http://dbpedia.org/resource/Al_Kazim_Towers"
"10630177_0_4831842476649004753","2","125","http://dbpedia.org/resource/China_International_Center"
"10630177_0_4831842476649004753","2","60","http://dbpedia.org/resource/Pearl_River_Tower"
"10630177_0_4831842476649004753","2","134","http://dbpedia.org/resource/Al_Faisaliyah_Center"
"10630177_0_4831842476649004753","2","21","http://dbpedia.org/resource/Empire_State_Building"
"10630177_0_4831842476649004753","2","129","http://dbpedia.org/resource/Naberezhnaya_Tower"
"10630177_0_4831842476649004753","2","40","http://dbpedia.org/resource/Shimao_International_Plaza"
"10630177_0_4831842476649004753","2","145","http://dbpedia.org/resource/120_Collins_Street"
"10630177_0_4831842476649004753","2","52","http://dbpedia.org/resource/The_New_York_Times_Building"
"10630177_0_4831842476649004753","2","163","http://dbpedia.org/resource/Imperial_City,_Beijing"
"10630177_0_4831842476649004753","2","178","http://dbpedia.org/resource/Lanko%C2%B7Grand_Hyatt_Hotel"
"10630177_0_4831842476649004753","2","81","http://dbpedia.org/resource/Yokohama_Landmark_Tower"
"10630177_0_4831842476649004753","2","65","http://dbpedia.org/resource/JPMorgan_Chase_Tower_(Houston)"
"10630177_0_4831842476649004753","2","181","http://dbpedia.org/resource/Park_Tower_(Chicago)"
"10630177_0_4831842476649004753","2","1","http://dbpedia.org/resource/Burj_Khalifa"
"10630177_0_4831842476649004753","2","171","http://dbpedia.org/resource/Chase_Tower_(Chicago)"
"10630177_0_4831842476649004753","2","24","http://dbpedia.org/resource/JW_Marriott_Marquis_Dubai"
"10630177_0_4831842476649004753","2","107","http://dbpedia.org/resource/One_Raffles_Place"
"10630177_0_4831842476649004753","2","102","http://dbpedia.org/resource/We've_the_Zenith"
"10630177_0_4831842476649004753","2","158","http://dbpedia.org/resource/The_Masterpiece_(Hong_Kong)"
"10630177_0_4831842476649004753","2","120","http://dbpedia.org/resource/The_Pinnacle_(Guangzhou)"
"10630177_0_4831842476649004753","2","118","http://dbpedia.org/resource/Wuhan_World_Trade_Tower"
"10630177_0_4831842476649004753","2","93","http://dbpedia.org/resource/Liberty_Place"
"10630177_0_4831842476649004753","2","173","http://dbpedia.org/resource/Commerzbank_Tower"
"10630177_0_4831842476649004753","2","71","http://dbpedia.org/resource/Kingdom_Centre"
"10630177_0_4831842476649004753","2","30","http://dbpedia.org/resource/Emirates_Office_Tower"
"10630177_0_4831842476649004753","2","45","http://dbpedia.org/resource/The_Index_(Dubai)"
"10630177_0_4831842476649004753","2","43","http://dbpedia.org/resource/Al_Yaqoub_Tower"
"10630177_0_4831842476649004753","2","11","http://dbpedia.org/resource/Guangzhou_International_Finance_Center"
"10630177_0_4831842476649004753","2","114","http://dbpedia.org/resource/Diwang_International_Commerce_Center"
"10630177_0_4831842476649004753","2","127","http://dbpedia.org/resource/Bitexco_Financial_Tower"
"10630177_0_4831842476649004753","2","123","http://dbpedia.org/resource/The_Cullinan"
"10630177_0_4831842476649004753","2","75","http://dbpedia.org/resource/Arraya_Tower"
"10630177_0_4831842476649004753","2","36","http://dbpedia.org/resource/Tianjin_World_Financial_Center"
"10630177_0_4831842476649004753","2","2","http://dbpedia.org/resource/Abraj_Al_Bait"
"10630177_0_4831842476649004753","2","97","http://dbpedia.org/resource/Tomorrow_Square"
"10630177_0_4831842476649004753","2","64","http://dbpedia.org/resource/The_Address_Downtown_Dubai"
"10630177_0_4831842476649004753","2","124","http://dbpedia.org/resource/The_Cullinan"
"10630177_0_4831842476649004753","2","157","http://dbpedia.org/resource/Istanbul_Sapphire"
"10630177_0_4831842476649004753","2","119","http://dbpedia.org/resource/Haeundae_I_Park_Marina"
"10630177_0_4831842476649004753","2","112","http://dbpedia.org/resource/Central_Market_Project"
"10630177_0_4831842476649004753","2","147","http://dbpedia.org/resource/Samsung_Tower_Palace_3_%E2%80%93_Tower_G"
"10630177_0_4831842476649004753","2","17","http://dbpedia.org/resource/23_Marina"
"10630177_0_4831842476649004753","2","196","http://dbpedia.org/resource/Al_Fardan_Residences"
"10630177_0_4831842476649004753","2","150","http://dbpedia.org/resource/Shenzhen_Special_Zone_Press_Tower"
"10630177_0_4831842476649004753","2","91","http://dbpedia.org/resource/Key_Tower"
"10630177_0_4831842476649004753","2","56","http://dbpedia.org/resource/Menara_Telekom"
"10630177_0_4831842476649004753","2","86","http://dbpedia.org/resource/311_South_Wacker_Drive"
"10630177_0_4831842476649004753","2","99","http://dbpedia.org/resource/Cheung_Kong_Center"
"10630177_0_4831842476649004753","2","84","http://dbpedia.org/resource/Islamic_Bank_Towers"
"10630177_0_4831842476649004753","2","108","http://dbpedia.org/resource/UOB_Plaza"
"10630177_0_4831842476649004753","2","51","http://dbpedia.org/resource/Nina_Tower"
"10630177_0_4831842476649004753","2","198","http://dbpedia.org/resource/Highcliff"
"10630177_0_4831842476649004753","2","169","http://dbpedia.org/resource/Post_&_Telecommunication_Hub"
"10630177_0_4831842476649004753","2","55","http://dbpedia.org/resource/U.S._Bank_Tower_(Los_Angeles)"
"10630177_0_4831842476649004753","2","74","http://dbpedia.org/resource/Aspire_Tower"
"10630177_0_4831842476649004753","2","180","http://dbpedia.org/page/Zhejiang_Fortune_Financial_Center"
"10630177_0_4831842476649004753","2","34","http://dbpedia.org/resource/The_Marina_Torch"
"10630177_0_4831842476649004753","2","192","http://dbpedia.org/resource/Langham_Place_(Hong_Kong)"
"10630177_0_4831842476649004753","2","121","http://dbpedia.org/resource/Renaissance_Tower_(Dallas)"
"10630177_0_4831842476649004753","2","67","http://dbpedia.org/resource/Baiyoke_Tower_II"
